id,type,age,role,sex,private_room,n_visitors
1,0,<65,,0,T,1
2,0,<65,,0,T,1
3,0,<65,,0,T,1
4,0,<65,,0,T,2
5,0,<65,,0,F,4
6,0,<65,,0,F,4
7,0,<65,,0,F,8
8,0,<65,,0,F,8
9,0,<65,,1,T,8
10,0,<65,,1,T,8
11,0,<65,,1,T,8
12,0,<65,,1,T,8
13,0,<65,,1,F,4
14,0,<65,,1,F,2
15,0,<65,,1,F,2
16,0,<65,,1,F,1
17,0,<65,,1,F,1
18,0,<65,,1,F,1
19,0,65-74,,0,T,8
20,0,65-74,,0,T,4
21,0,65-74,,0,F,2
22,0,65-74,,0,F,1
23,0,65-74,,1,T,1
24,0,65-74,,1,T,1
25,0,65-74,,1,F,2
26,0,65-74,,1,F,2
27,0,65-74,,1,F,4
28,0,65-74,,1,F,4
29,0,65-74,,1,F,8
30,0,65-74,,1,F,8
31,0,75-84,,0,T,1
32,0,75-84,,0,T,1
33,0,75-84,,0,T,1
34,0,75-84,,0,T,2
35,0,75-84,,0,F,2
36,0,75-84,,0,F,2
37,0,75-84,,0,F,4
38,0,75-84,,0,F,4
39,0,75-84,,0,F,4
40,0,75-84,,0,F,8
41,0,75-84,,0,F,8
42,0,75-84,,0,F,8
43,0,75-84,,1,T,1
44,0,75-84,,1,T,1
45,0,75-84,,1,T,1
46,0,75-84,,1,T,2
47,0,75-84,,1,F,2
48,0,75-84,,1,F,2
49,0,75-84,,1,F,4
50,0,75-84,,1,F,4
51,0,75-84,,1,F,4
52,0,75-84,,1,F,4
53,0,75-84,,1,F,4
54,0,75-84,,1,F,4
55,0,75-84,,1,F,8
56,0,75-84,,1,F,8
57,0,75-84,,1,F,8
58,0,75-84,,1,F,8
59,0,75-84,,1,F,8
60,0,75-84,,1,F,8
61,0,85-94,,0,T,8
62,0,85-94,,0,T,8
63,0,85-94,,0,T,8
64,0,85-94,,0,T,8
65,0,85-94,,0,F,4
66,0,85-94,,0,F,4
67,0,85-94,,0,F,4
68,0,85-94,,0,F,4
69,0,85-94,,0,F,4
70,0,85-94,,0,F,2
71,0,85-94,,0,F,2
72,0,85-94,,0,F,2
73,0,85-94,,0,F,2
74,0,85-94,,0,F,2
75,0,85-94,,0,F,2
76,0,85-94,,0,F,1
77,0,85-94,,0,F,1
78,0,85-94,,0,F,1
79,0,85-94,,0,F,1
80,0,85-94,,0,F,1
81,0,85-94,,1,T,1
82,0,85-94,,1,T,1
83,0,85-94,,1,T,1
84,0,85-94,,1,T,1
85,0,85-94,,1,T,1
86,0,85-94,,1,T,1
87,0,85-94,,1,T,1
88,0,85-94,,1,T,2
89,0,85-94,,1,F,2
90,0,85-94,,1,F,2
91,0,85-94,,1,F,2
92,0,85-94,,1,F,2
93,0,85-94,,1,F,2
94,0,85-94,,1,F,2
95,0,85-94,,1,F,2
96,0,85-94,,1,F,2
97,0,85-94,,1,F,4
98,0,85-94,,1,F,4
99,0,85-94,,1,F,4
100,0,85-94,,1,F,4
101,0,85-94,,1,F,4
102,0,85-94,,1,F,4
103,0,85-94,,1,F,4
104,0,85-94,,1,F,8
105,0,85-94,,1,F,8
106,0,85-94,,1,F,8
107,0,85-94,,1,F,8
108,0,85-94,,1,F,8
109,0,95+,,0,T,1
110,0,95+,,0,T,2
111,0,95+,,0,F,4
112,0,95+,,0,F,8
113,0,95+,,1,T,8
114,0,95+,,1,T,8
115,0,95+,,1,F,4
116,0,95+,,1,F,4
117,0,95+,,1,F,2
118,0,95+,,1,F,2
119,0,95+,,1,F,1
120,0,95+,,1,F,1
121,1,,0,,,
122,1,,0,,,
123,1,,0,,,
124,1,,0,,,
125,1,,0,,,
126,1,,1,,,
127,1,,1,,,
128,1,,1,,,
129,1,,1,,,
130,1,,2,,,
131,1,,2,,,
132,1,,2,,,
133,1,,2,,,
134,1,,2,,,
135,1,,2,,,
136,1,,2,,,
137,1,,2,,,
138,1,,2,,,
139,1,,2,,,
140,1,,2,,,
141,1,,2,,,
142,1,,2,,,
143,1,,2,,,
144,1,,2,,,
145,1,,3,,,
146,1,,3,,,
147,2,,,,,
148,2,,,,,
149,2,,,,,
150,2,,,,,
151,2,,,,,
152,2,,,,,
153,2,,,,,
154,2,,,,,
155,2,,,,,
156,2,,,,,
157,2,,,,,
158,2,,,,,
159,2,,,,,
160,2,,,,,
161,2,,,,,
162,2,,,,,
163,2,,,,,
164,2,,,,,
165,2,,,,,
166,2,,,,,
167,2,,,,,
168,2,,,,,
169,2,,,,,
170,2,,,,,
171,2,,,,,
172,2,,,,,
173,2,,,,,
174,2,,,,,
175,2,,,,,
176,2,,,,,
177,2,,,,,
178,2,,,,,
179,2,,,,,
180,2,,,,,
181,2,,,,,
182,2,,,,,
183,2,,,,,
184,2,,,,,
185,2,,,,,
186,2,,,,,
187,2,,,,,
188,2,,,,,
189,2,,,,,
190,2,,,,,
191,2,,,,,
192,2,,,,,
193,2,,,,,
194,2,,,,,
195,2,,,,,
196,2,,,,,
197,2,,,,,
198,2,,,,,
199,2,,,,,
200,2,,,,,
201,2,,,,,
202,2,,,,,
203,2,,,,,
204,2,,,,,
205,2,,,,,
206,2,,,,,
207,2,,,,,
208,2,,,,,
209,2,,,,,
210,2,,,,,
211,2,,,,,
212,2,,,,,
213,2,,,,,
214,2,,,,,
215,2,,,,,
216,2,,,,,
217,2,,,,,
218,2,,,,,
219,2,,,,,
220,2,,,,,
221,2,,,,,
222,2,,,,,
223,2,,,,,
224,2,,,,,
225,2,,,,,
226,2,,,,,
227,2,,,,,
228,2,,,,,
229,2,,,,,
230,2,,,,,
231,2,,,,,
232,2,,,,,
233,2,,,,,
234,2,,,,,
235,2,,,,,
236,2,,,,,
237,2,,,,,
238,2,,,,,
239,2,,,,,
240,2,,,,,
241,2,,,,,
242,2,,,,,
243,2,,,,,
244,2,,,,,
245,2,,,,,
246,2,,,,,
247,2,,,,,
248,2,,,,,
249,2,,,,,
250,2,,,,,
251,2,,,,,
252,2,,,,,
253,2,,,,,
254,2,,,,,
255,2,,,,,
256,2,,,,,
257,2,,,,,
258,2,,,,,
259,2,,,,,
260,2,,,,,
261,2,,,,,
262,2,,,,,
263,2,,,,,
264,2,,,,,
265,2,,,,,
266,2,,,,,
267,2,,,,,
268,2,,,,,
269,2,,,,,
270,2,,,,,
271,2,,,,,
272,2,,,,,
273,2,,,,,
274,2,,,,,
275,2,,,,,
276,2,,,,,
277,2,,,,,
278,2,,,,,
279,2,,,,,
280,2,,,,,
281,2,,,,,
282,2,,,,,
283,2,,,,,
284,2,,,,,
285,2,,,,,
286,2,,,,,
287,2,,,,,
288,2,,,,,
289,2,,,,,
290,2,,,,,
291,2,,,,,
292,2,,,,,
293,2,,,,,
294,2,,,,,
295,2,,,,,
296,2,,,,,
297,2,,,,,
298,2,,,,,
299,2,,,,,
300,2,,,,,
301,2,,,,,
302,2,,,,,
303,2,,,,,
304,2,,,,,
305,2,,,,,
306,2,,,,,
307,2,,,,,
308,2,,,,,
309,2,,,,,
310,2,,,,,
311,2,,,,,
312,2,,,,,
313,2,,,,,
314,2,,,,,
315,2,,,,,
316,2,,,,,
317,2,,,,,
318,2,,,,,
319,2,,,,,
320,2,,,,,
321,2,,,,,
322,2,,,,,
323,2,,,,,
324,2,,,,,
325,2,,,,,
326,2,,,,,
