cost_vec,pax_vec,boost_vec,screen_vec,com_inc_vec
0,0,low,none,4
920000,0,low,weekly,4
1302000,0,low,twice-weekly,4
0,0,low,none,40
83000,0,low,weekly,40
173000,0,low,twice-weekly,40
0,0,low,none,80
52000,0,low,weekly,80
86000,0,low,twice-weekly,80
0,10,low,none,4
991000,10,low,weekly,4
1402000,10,low,twice-weekly,4
0,10,low,none,40
89000,10,low,weekly,40
187000,10,low,twice-weekly,40
0,10,low,none,80
56000,10,low,weekly,80
93000,10,low,twice-weekly,80
0,20,low,none,4
1074000,20,low,weekly,4
1519000,20,low,twice-weekly,4
0,20,low,none,40
96000,20,low,weekly,40
202000,20,low,twice-weekly,40
0,20,low,none,80
61000,20,low,weekly,80
100000,20,low,twice-weekly,80
0,30,low,none,4
1171000,30,low,weekly,4
1657000,30,low,twice-weekly,4
0,30,low,none,40
105000,30,low,weekly,40
221000,30,low,twice-weekly,40
0,30,low,none,80
66000,30,low,weekly,80
110000,30,low,twice-weekly,80
0,40,low,none,4
1288000,40,low,weekly,4
1822000,40,low,twice-weekly,4
0,40,low,none,40
116000,40,low,weekly,40
243000,40,low,twice-weekly,40
0,40,low,none,80
73000,40,low,weekly,80
120000,40,low,twice-weekly,80
0,50,low,none,4
1432000,50,low,weekly,4
2025000,50,low,twice-weekly,4
0,50,low,none,40
129000,50,low,weekly,40
270000,50,low,twice-weekly,40
0,50,low,none,80
81000,50,low,weekly,80
134000,50,low,twice-weekly,80
0,60,low,none,4
1610000,60,low,weekly,4
2278000,60,low,twice-weekly,4
0,60,low,none,40
145000,60,low,weekly,40
304000,60,low,twice-weekly,40
0,60,low,none,80
91000,60,low,weekly,80
151000,60,low,twice-weekly,80
0,70,low,none,4
1841000,70,low,weekly,4
2603000,70,low,twice-weekly,4
0,70,low,none,40
165000,70,low,weekly,40
347000,70,low,twice-weekly,40
0,70,low,none,80
104000,70,low,weekly,80
172000,70,low,twice-weekly,80
0,80,low,none,4
2147000,80,low,weekly,4
3037000,80,low,twice-weekly,4
0,80,low,none,40
193000,80,low,weekly,40
405000,80,low,twice-weekly,40
0,80,low,none,80
122000,80,low,weekly,80
201000,80,low,twice-weekly,80
0,90,low,none,4
2577000,90,low,weekly,4
3644000,90,low,twice-weekly,4
0,90,low,none,40
231000,90,low,weekly,40
486000,90,low,twice-weekly,40
0,90,low,none,80
146000,90,low,weekly,80
241000,90,low,twice-weekly,80
0,100,low,none,4
3221000,100,low,weekly,4
4556000,100,low,twice-weekly,4
0,100,low,none,40
289000,100,low,weekly,40
607000,100,low,twice-weekly,40
0,100,low,none,80
182000,100,low,weekly,80
301000,100,low,twice-weekly,80
0,0,high,none,4
1119000,0,high,weekly,4
2110000,0,high,twice-weekly,4
0,0,high,none,40
107000,0,high,weekly,40
207000,0,high,twice-weekly,40
0,0,high,none,80
63000,0,high,weekly,80
111000,0,high,twice-weekly,80
0,10,high,none,4
1205000,10,high,weekly,4
2272000,10,high,twice-weekly,4
0,10,high,none,40
115000,10,high,weekly,40
223000,10,high,twice-weekly,40
0,10,high,none,80
68000,10,high,weekly,80
120000,10,high,twice-weekly,80
0,20,high,none,4
1306000,20,high,weekly,4
2461000,20,high,twice-weekly,4
0,20,high,none,40
125000,20,high,weekly,40
241000,20,high,twice-weekly,40
0,20,high,none,80
74000,20,high,weekly,80
130000,20,high,twice-weekly,80
0,30,high,none,4
1425000,30,high,weekly,4
2685000,30,high,twice-weekly,4
0,30,high,none,40
136000,30,high,weekly,40
263000,30,high,twice-weekly,40
0,30,high,none,80
80000,30,high,weekly,80
142000,30,high,twice-weekly,80
0,40,high,none,4
1567000,40,high,weekly,4
2953000,40,high,twice-weekly,4
0,40,high,none,40
150000,40,high,weekly,40
289000,40,high,twice-weekly,40
0,40,high,none,80
88000,40,high,weekly,80
156000,40,high,twice-weekly,80
0,50,high,none,4
1741000,50,high,weekly,4
3282000,50,high,twice-weekly,4
0,50,high,none,40
166000,50,high,weekly,40
322000,50,high,twice-weekly,40
0,50,high,none,80
98000,50,high,weekly,80
173000,50,high,twice-weekly,80
0,60,high,none,4
1959000,60,high,weekly,4
3692000,60,high,twice-weekly,4
0,60,high,none,40
187000,60,high,weekly,40
362000,60,high,twice-weekly,40
0,60,high,none,80
110000,60,high,weekly,80
195000,60,high,twice-weekly,80
0,70,high,none,4
2239000,70,high,weekly,4
4219000,70,high,twice-weekly,4
0,70,high,none,40
214000,70,high,weekly,40
414000,70,high,twice-weekly,40
0,70,high,none,80
126000,70,high,weekly,80
223000,70,high,twice-weekly,80
0,80,high,none,4
2612000,80,high,weekly,4
4922000,80,high,twice-weekly,4
0,80,high,none,40
249000,80,high,weekly,40
482000,80,high,twice-weekly,40
0,80,high,none,80
147000,80,high,weekly,80
260000,80,high,twice-weekly,80
0,90,high,none,4
3134000,90,high,weekly,4
5907000,90,high,twice-weekly,4
0,90,high,none,40
299000,90,high,weekly,40
579000,90,high,twice-weekly,40
0,90,high,none,80
176000,90,high,weekly,80
312000,90,high,twice-weekly,80
0,100,high,none,4
3917000,100,high,weekly,4
7384000,100,high,twice-weekly,4
0,100,high,none,40
374000,100,high,weekly,40
724000,100,high,twice-weekly,40
0,100,high,none,80
221000,100,high,weekly,80
390000,100,high,twice-weekly,80
