cost_vec,pax_vec,boost_vec,screen_vec,com_inc_vec
0,0,0,none,5
506000,0,0,weekly,5
763000,0,0,twice-weekly,5
0,0,0,none,20
147000,0,0,weekly,20
191000,0,0,twice-weekly,20
0,0,0,none,40
77000,0,0,weekly,40
99000,0,0,twice-weekly,40
0,0,0,none,60
53000,0,0,weekly,60
76000,0,0,twice-weekly,60
0,0,0,none,80
45000,0,0,weekly,80
58000,0,0,twice-weekly,80
0,0,0,none,100
42000,0,0,weekly,100
50000,0,0,twice-weekly,100
0,25,0,none,5
612000,25,0,weekly,5
924000,25,0,twice-weekly,5
0,25,0,none,20
177000,25,0,weekly,20
231000,25,0,twice-weekly,20
0,25,0,none,40
93000,25,0,weekly,40
120000,25,0,twice-weekly,40
0,25,0,none,60
65000,25,0,weekly,60
92000,25,0,twice-weekly,60
0,25,0,none,80
55000,25,0,weekly,80
70000,25,0,twice-weekly,80
0,25,0,none,100
50000,25,0,weekly,100
60000,25,0,twice-weekly,100
0,50,0,none,5
776000,50,0,weekly,5
1170000,50,0,twice-weekly,5
0,50,0,none,20
225000,50,0,weekly,20
293000,50,0,twice-weekly,20
0,50,0,none,40
118000,50,0,weekly,40
152000,50,0,twice-weekly,40
0,50,0,none,60
82000,50,0,weekly,60
117000,50,0,twice-weekly,60
0,50,0,none,80
70000,50,0,weekly,80
89000,50,0,twice-weekly,80
0,50,0,none,100
64000,50,0,weekly,100
76000,50,0,twice-weekly,100
0,75,0,none,5
1058000,75,0,weekly,5
1596000,75,0,twice-weekly,5
0,75,0,none,20
306000,75,0,weekly,20
399000,75,0,twice-weekly,20
0,75,0,none,40
161000,75,0,weekly,40
207000,75,0,twice-weekly,40
0,75,0,none,60
112000,75,0,weekly,60
159000,75,0,twice-weekly,60
0,75,0,none,80
95000,75,0,weekly,80
121000,75,0,twice-weekly,80
0,75,0,none,100
87000,75,0,weekly,100
104000,75,0,twice-weekly,100
0,100,0,none,5
1736000,100,0,weekly,5
2621000,100,0,twice-weekly,5
0,100,0,none,20
503000,100,0,weekly,20
656000,100,0,twice-weekly,20
0,100,0,none,40
265000,100,0,weekly,40
340000,100,0,twice-weekly,40
0,100,0,none,60
184000,100,0,weekly,60
262000,100,0,twice-weekly,60
0,100,0,none,80
156000,100,0,weekly,80
199000,100,0,twice-weekly,80
0,100,0,none,100
143000,100,0,weekly,100
170000,100,0,twice-weekly,100
0,0,20,none,5
752000,0,20,weekly,5
847000,0,20,twice-weekly,5
0,0,20,none,20
169000,0,20,weekly,20
244000,0,20,twice-weekly,20
0,0,20,none,40
104000,0,20,weekly,40
115000,0,20,twice-weekly,40
0,0,20,none,60
71000,0,20,weekly,60
92000,0,20,twice-weekly,60
0,0,20,none,80
57000,0,20,weekly,80
69000,0,20,twice-weekly,80
0,0,20,none,100
49000,0,20,weekly,100
61000,0,20,twice-weekly,100
0,25,20,none,5
911000,25,20,weekly,5
1025000,25,20,twice-weekly,5
0,25,20,none,20
204000,25,20,weekly,20
296000,25,20,twice-weekly,20
0,25,20,none,40
125000,25,20,weekly,40
139000,25,20,twice-weekly,40
0,25,20,none,60
86000,25,20,weekly,60
111000,25,20,twice-weekly,60
0,25,20,none,80
69000,25,20,weekly,80
83000,25,20,twice-weekly,80
0,25,20,none,100
59000,25,20,weekly,100
73000,25,20,twice-weekly,100
0,50,20,none,5
1154000,50,20,weekly,5
1299000,50,20,twice-weekly,5
0,50,20,none,20
259000,50,20,weekly,20
375000,50,20,twice-weekly,20
0,50,20,none,40
159000,50,20,weekly,40
176000,50,20,twice-weekly,40
0,50,20,none,60
109000,50,20,weekly,60
141000,50,20,twice-weekly,60
0,50,20,none,80
87000,50,20,weekly,80
105000,50,20,twice-weekly,80
0,50,20,none,100
75000,50,20,weekly,100
93000,50,20,twice-weekly,100
0,75,20,none,5
1573000,75,20,weekly,5
1771000,75,20,twice-weekly,5
0,75,20,none,20
353000,75,20,weekly,20
511000,75,20,twice-weekly,20
0,75,20,none,40
216000,75,20,weekly,40
241000,75,20,twice-weekly,40
0,75,20,none,60
149000,75,20,weekly,60
193000,75,20,twice-weekly,60
0,75,20,none,80
119000,75,20,weekly,80
143000,75,20,twice-weekly,80
0,75,20,none,100
102000,75,20,weekly,100
127000,75,20,twice-weekly,100
0,100,20,none,5
2583000,100,20,weekly,5
2908000,100,20,twice-weekly,5
0,100,20,none,20
579000,100,20,weekly,20
839000,100,20,twice-weekly,20
0,100,20,none,40
355000,100,20,weekly,40
395000,100,20,twice-weekly,40
0,100,20,none,60
245000,100,20,weekly,60
316000,100,20,twice-weekly,60
0,100,20,none,80
195000,100,20,weekly,80
235000,100,20,twice-weekly,80
0,100,20,none,100
167000,100,20,weekly,100
208000,100,20,twice-weekly,100
0,0,40,none,5
764000,0,40,weekly,5
1033000,0,40,twice-weekly,5
0,0,40,none,20
203000,0,40,weekly,20
271000,0,40,twice-weekly,20
0,0,40,none,40
118000,0,40,weekly,40
144000,0,40,twice-weekly,40
0,0,40,none,60
76000,0,40,weekly,60
111000,0,40,twice-weekly,60
0,0,40,none,80
68000,0,40,weekly,80
78000,0,40,twice-weekly,80
0,0,40,none,100
60000,0,40,weekly,100
65000,0,40,twice-weekly,100
0,25,40,none,5
925000,25,40,weekly,5
1250000,25,40,twice-weekly,5
0,25,40,none,20
245000,25,40,weekly,20
328000,25,40,twice-weekly,20
0,25,40,none,40
143000,25,40,weekly,40
174000,25,40,twice-weekly,40
0,25,40,none,60
92000,25,40,weekly,60
134000,25,40,twice-weekly,60
0,25,40,none,80
83000,25,40,weekly,80
94000,25,40,twice-weekly,80
0,25,40,none,100
73000,25,40,weekly,100
79000,25,40,twice-weekly,100
0,50,40,none,5
1172000,50,40,weekly,5
1583000,50,40,twice-weekly,5
0,50,40,none,20
311000,50,40,weekly,20
416000,50,40,twice-weekly,20
0,50,40,none,40
181000,50,40,weekly,40
220000,50,40,twice-weekly,40
0,50,40,none,60
116000,50,40,weekly,60
169000,50,40,twice-weekly,60
0,50,40,none,80
105000,50,40,weekly,80
120000,50,40,twice-weekly,80
0,50,40,none,100
92000,50,40,weekly,100
100000,50,40,twice-weekly,100
0,75,40,none,5
1598000,75,40,weekly,5
2159000,75,40,twice-weekly,5
0,75,40,none,20
424000,75,40,weekly,20
567000,75,40,twice-weekly,20
0,75,40,none,40
247000,75,40,weekly,40
300000,75,40,twice-weekly,40
0,75,40,none,60
158000,75,40,weekly,60
231000,75,40,twice-weekly,60
0,75,40,none,80
143000,75,40,weekly,80
163000,75,40,twice-weekly,80
0,75,40,none,100
126000,75,40,weekly,100
136000,75,40,twice-weekly,100
0,100,40,none,5
2623000,100,40,weekly,5
3545000,100,40,twice-weekly,5
0,100,40,none,20
696000,100,40,weekly,20
931000,100,40,twice-weekly,20
0,100,40,none,40
406000,100,40,weekly,40
493000,100,40,twice-weekly,40
0,100,40,none,60
260000,100,40,weekly,60
379000,100,40,twice-weekly,60
0,100,40,none,80
234000,100,40,weekly,80
268000,100,40,twice-weekly,80
0,100,40,none,100
206000,100,40,weekly,100
223000,100,40,twice-weekly,100
0,0,60,none,5
960000,0,60,weekly,5
1151000,0,60,twice-weekly,5
0,0,60,none,20
278000,0,60,weekly,20
310000,0,60,twice-weekly,20
0,0,60,none,40
139000,0,60,weekly,40
164000,0,60,twice-weekly,40
0,0,60,none,60
87000,0,60,weekly,60
123000,0,60,twice-weekly,60
0,0,60,none,80
72000,0,60,weekly,80
95000,0,60,twice-weekly,80
0,0,60,none,100
64000,0,60,weekly,100
78000,0,60,twice-weekly,100
0,25,60,none,5
1162000,25,60,weekly,5
1394000,25,60,twice-weekly,5
0,25,60,none,20
337000,25,60,weekly,20
375000,25,60,twice-weekly,20
0,25,60,none,40
168000,25,60,weekly,40
199000,25,60,twice-weekly,40
0,25,60,none,60
106000,25,60,weekly,60
149000,25,60,twice-weekly,60
0,25,60,none,80
87000,25,60,weekly,80
115000,25,60,twice-weekly,80
0,25,60,none,100
77000,25,60,weekly,100
95000,25,60,twice-weekly,100
0,50,60,none,5
1472000,50,60,weekly,5
1766000,50,60,twice-weekly,5
0,50,60,none,20
426000,50,60,weekly,20
475000,50,60,twice-weekly,20
0,50,60,none,40
213000,50,60,weekly,40
252000,50,60,twice-weekly,40
0,50,60,none,60
134000,50,60,weekly,60
189000,50,60,twice-weekly,60
0,50,60,none,80
111000,50,60,weekly,80
145000,50,60,twice-weekly,80
0,50,60,none,100
98000,50,60,weekly,100
120000,50,60,twice-weekly,100
0,75,60,none,5
2007000,75,60,weekly,5
2408000,75,60,twice-weekly,5
0,75,60,none,20
581000,75,60,weekly,20
648000,75,60,twice-weekly,20
0,75,60,none,40
290000,75,60,weekly,40
343000,75,60,twice-weekly,40
0,75,60,none,60
183000,75,60,weekly,60
257000,75,60,twice-weekly,60
0,75,60,none,80
151000,75,60,weekly,80
198000,75,60,twice-weekly,80
0,75,60,none,100
133000,75,60,weekly,100
163000,75,60,twice-weekly,100
0,100,60,none,5
3296000,100,60,weekly,5
3953000,100,60,twice-weekly,5
0,100,60,none,20
955000,100,60,weekly,20
1063000,100,60,twice-weekly,20
0,100,60,none,40
476000,100,60,weekly,40
564000,100,60,twice-weekly,40
0,100,60,none,60
300000,100,60,weekly,60
423000,100,60,twice-weekly,60
0,100,60,none,80
248000,100,60,weekly,80
325000,100,60,twice-weekly,80
0,100,60,none,100
219000,100,60,weekly,100
268000,100,60,twice-weekly,100
0,0,80,none,5
1200000,0,80,weekly,5
1160000,0,80,twice-weekly,5
0,0,80,none,20
290000,0,80,weekly,20
348000,0,80,twice-weekly,20
0,0,80,none,40
163000,0,80,weekly,40
