cost_vec,pax_vec,boost_vec,screen_vec,com_inc_vec
0,0,0,none,5
145000,0,0,weekly,5
209000,0,0,twice-weekly,5
0,0,0,none,20
45000,0,0,weekly,20
58000,0,0,twice-weekly,20
0,0,0,none,40
26000,0,0,weekly,40
36000,0,0,twice-weekly,40
0,0,0,none,60
23000,0,0,weekly,60
30000,0,0,twice-weekly,60
0,0,0,none,80
21000,0,0,weekly,80
26000,0,0,twice-weekly,80
0,0,0,none,100
18000,0,0,weekly,100
26000,0,0,twice-weekly,100
0,25,0,none,5
176000,25,0,weekly,5
253000,25,0,twice-weekly,5
0,25,0,none,20
54000,25,0,weekly,20
71000,25,0,twice-weekly,20
0,25,0,none,40
31000,25,0,weekly,40
43000,25,0,twice-weekly,40
0,25,0,none,60
28000,25,0,weekly,60
36000,25,0,twice-weekly,60
0,25,0,none,80
25000,25,0,weekly,80
31000,25,0,twice-weekly,80
0,25,0,none,100
22000,25,0,weekly,100
31000,25,0,twice-weekly,100
0,50,0,none,5
223000,50,0,weekly,5
321000,50,0,twice-weekly,5
0,50,0,none,20
69000,50,0,weekly,20
89000,50,0,twice-weekly,20
0,50,0,none,40
39000,50,0,weekly,40
55000,50,0,twice-weekly,40
0,50,0,none,60
35000,50,0,weekly,60
46000,50,0,twice-weekly,60
0,50,0,none,80
32000,50,0,weekly,80
40000,50,0,twice-weekly,80
0,50,0,none,100
28000,50,0,weekly,100
40000,50,0,twice-weekly,100
0,75,0,none,5
304000,75,0,weekly,5
437000,75,0,twice-weekly,5
0,75,0,none,20
94000,75,0,weekly,20
122000,75,0,twice-weekly,20
0,75,0,none,40
53000,75,0,weekly,40
75000,75,0,twice-weekly,40
0,75,0,none,60
48000,75,0,weekly,60
62000,75,0,twice-weekly,60
0,75,0,none,80
43000,75,0,weekly,80
54000,75,0,twice-weekly,80
0,75,0,none,100
39000,75,0,weekly,100
54000,75,0,twice-weekly,100
0,100,0,none,5
499000,100,0,weekly,5
718000,100,0,twice-weekly,5
0,100,0,none,20
154000,100,0,weekly,20
200000,100,0,twice-weekly,20
0,100,0,none,40
88000,100,0,weekly,40
123000,100,0,twice-weekly,40
0,100,0,none,60
79000,100,0,weekly,60
103000,100,0,twice-weekly,60
0,100,0,none,80
71000,100,0,weekly,80
89000,100,0,twice-weekly,80
0,100,0,none,100
63000,100,0,weekly,100
89000,100,0,twice-weekly,100
0,0,20,none,5
211000,0,20,weekly,5
284000,0,20,twice-weekly,5
0,0,20,none,20
59000,0,20,weekly,20
90000,0,20,twice-weekly,20
0,0,20,none,40
34000,0,20,weekly,40
50000,0,20,twice-weekly,40
