cost_vec,pax_vec,boost_vec,screen_vec,com_inc_vec
0,0,0,none,5
32000,0,0,weekly,5
42000,0,0,twice-weekly,5
0,0,0,none,20
14000,0,0,weekly,20
13000,0,0,twice-weekly,20
0,0,0,none,40
11000,0,0,weekly,40
11000,0,0,twice-weekly,40
0,0,0,none,60
13000,0,0,weekly,60
10000,0,0,twice-weekly,60
0,0,0,none,80
13000,0,0,weekly,80
12000,0,0,twice-weekly,80
0,0,0,none,100
15000,0,0,weekly,100
11000,0,0,twice-weekly,100
0,25,0,none,5
39000,25,0,weekly,5
51000,25,0,twice-weekly,5
0,25,0,none,20
17000,25,0,weekly,20
15000,25,0,twice-weekly,20
0,25,0,none,40
14000,25,0,weekly,40
13000,25,0,twice-weekly,40
0,25,0,none,60
15000,25,0,weekly,60
13000,25,0,twice-weekly,60
0,25,0,none,80
15000,25,0,weekly,80
14000,25,0,twice-weekly,80
0,25,0,none,100
18000,25,0,weekly,100
14000,25,0,twice-weekly,100
0,50,0,none,5
49000,50,0,weekly,5
64000,50,0,twice-weekly,5
0,50,0,none,20
22000,50,0,weekly,20
19000,50,0,twice-weekly,20
0,50,0,none,40
17000,50,0,weekly,40
17000,50,0,twice-weekly,40
0,50,0,none,60
20000,50,0,weekly,60
16000,50,0,twice-weekly,60
0,50,0,none,80
19000,50,0,weekly,80
18000,50,0,twice-weekly,80
0,50,0,none,100
22000,50,0,weekly,100
17000,50,0,twice-weekly,100
0,75,0,none,5
67000,75,0,weekly,5
88000,75,0,twice-weekly,5
0,75,0,none,20
30000,75,0,weekly,20
26000,75,0,twice-weekly,20
0,75,0,none,40
24000,75,0,weekly,40
23000,75,0,twice-weekly,40
0,75,0,none,60
27000,75,0,weekly,60
22000,75,0,twice-weekly,60
0,75,0,none,80
26000,75,0,weekly,80
24000,75,0,twice-weekly,80
0,75,0,none,100
30000,75,0,weekly,100
24000,75,0,twice-weekly,100
0,100,0,none,5
110000,100,0,weekly,5
144000,100,0,twice-weekly,5
0,100,0,none,20
48000,100,0,weekly,20
43000,100,0,twice-weekly,20
0,100,0,none,40
39000,100,0,weekly,40
38000,100,0,twice-weekly,40
0,100,0,none,60
44000,100,0,weekly,60
36000,100,0,twice-weekly,60
0,100,0,none,80
43000,100,0,weekly,80
40000,100,0,twice-weekly,80
0,100,0,none,100
50000,100,0,weekly,100
39000,100,0,twice-weekly,100
0,0,20,none,5
41000,0,20,weekly,5
44000,0,20,twice-weekly,5
0,0,20,none,20
15000,0,20,weekly,20
17000,0,20,twice-weekly,20
0,0,20,none,40
13000,0,20,weekly,40
13000,0,20,twice-weekly,40
0,0,20,none,60
13000,0,20,weekly,60
12000,0,20,twice-weekly,60
0,0,20,none,80
14000,0,20,weekly,80
12000,0,20,twice-weekly,80
0,0,20,none,100
14000,0,20,weekly,100
12000,0,20,twice-weekly,100
0,25,20,none,5
50000,25,20,weekly,5
54000,25,20,twice-weekly,5
0,25,20,none,20
18000,25,20,weekly,20
21000,25,20,twice-weekly,20
0,25,20,none,40
16000,25,20,weekly,40
15000,25,20,twice-weekly,40
0,25,20,none,60
16000,25,20,weekly,60
15000,25,20,twice-weekly,60
0,25,20,none,80
17000,25,20,weekly,80
14000,25,20,twice-weekly,80
0,25,20,none,100
17000,25,20,weekly,100
15000,25,20,twice-weekly,100
0,50,20,none,5
63000,50,20,weekly,5
68000,50,20,twice-weekly,5
0,50,20,none,20
22000,50,20,weekly,20
27000,50,20,twice-weekly,20
0,50,20,none,40
20000,50,20,weekly,40
19000,50,20,twice-weekly,40
0,50,20,none,60
20000,50,20,weekly,60
19000,50,20,twice-weekly,60
0,50,20,none,80
21000,50,20,weekly,80
18000,50,20,twice-weekly,80
0,50,20,none,100
22000,50,20,weekly,100
19000,50,20,twice-weekly,100
0,75,20,none,5
86000,75,20,weekly,5
93000,75,20,twice-weekly,5
0,75,20,none,20
31000,75,20,weekly,20
36000,75,20,twice-weekly,20
0,75,20,none,40
27000,75,20,weekly,40
26000,75,20,twice-weekly,40
0,75,20,none,60
28000,75,20,weekly,60
26000,75,20,twice-weekly,60
0,75,20,none,80
29000,75,20,weekly,80
24000,75,20,twice-weekly,80
